"","X","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_2","elec_system","pop_choice_2","GDP","occup","vote_eu","pop_att"
"11960",20371,48742,"IE",66,1,2,10,5,2,2,2,2,2,1,2,2,8,4,4,0,5,1,2,2,6,8,1,2,1,2,2,5,10,3,1,0,"Proportional","l",4.802866946,8,1,0.333333333333333
"11961",20373,48757,"IE",61,2,1,3,5,2,5,2,2,3,1,2,2,4,0,0,4,3,3,3,2,2,3,3,2,1,2,2,2,7,3,1,0,"Proportional","l",4.802866946,6,1,3.33333333333333
"11962",20374,48788,"IE",41,5,2,3,2,2,5,2,2,7,8,1,2,10,7,8,7,6,2,2,2,8,8,1,2,2,2,1,1,10,6,1,0,"Proportional","l",4.802866946,2,1,2.33333333333333
"11963",20375,48789,"IE",60,2,1,6,5,2,1,2,2,5,5,4,4,7,4,8,7,3,3,3,3,4,3,3,2,2,2,2,2,9,4,2,4,"Proportional","l",4.802866946,6,1,3.33333333333333
"11964",20376,48837,"IE",35,7,1,0,2,2,10,2,1,3,4,1,2,0,2,5,3,7,1,1,2,7,7,1,3,3,2,1,1,6,10,4,0,"Proportional","l",4.802866946,2,1,1.66666666666667
"11965",20377,48893,"IE",66,1,1,7,5,2,1,2,2,4,5,2,2,5,4,4,5,3,3,3,3,5,5,1,2,2,2,2,2,7,4,2,1,"Proportional","l",4.802866946,6,1,4
"11966",20378,48909,"IE",40,5,1,4,3,2,8,2,1,5,6,2,1,5,7,8,4,7,2,3,3,4,6,4,1,2,2,2,3,9,7,3,0,"Proportional","l",4.802866946,10,1,4.33333333333333
"11967",20379,48913,"IE",57,6,2,6,3,2,5,2,2,6,4,1,4,4,4,5,4,5,1,1,1,8,10,1,3,3,3,1,1,8,10,2,0,"Proportional","l",4.802866946,3,1,3.66666666666667
"11968",20380,49036,"IE",55,4,2,3,5,2,6,2,1,2,5,1,3,5,2,5,1,5,1,2,2,5,5,3,1,2,3,1,2,9,5,2,0,"Proportional","l",4.802866946,1,1,1
"11969",20381,49054,"IE",72,4,2,7,5,2,4,1,2,4,3,4,4,5,2,6,3,6,1,1,1,10,8,2,2,1,2,2,2,10,10,1,0,"Proportional","l",4.802866946,5,1,0.333333333333333
