"","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_1","elec_system","pop_choice_1","GDP","occup","vote_eu","pop_att"
"80",4429,"AT",34,7,2,8,4,2,7,2,2,5,5,2,2,3,4,3,6,7,3,3,4,3,3,2,2,3,2,3,3,7,2,4,0,"Proportional","r",1.550724086,2,1,5.33333333333333
"81",4431,"AT",65,6,2,8,4,2,5,2,1,4,7,1,1,5,6,7,1,3,1,1,1,10,8,2,2,3,2,1,1,10,10,1,0,"Proportional","r",1.550724086,2,1,5.33333333333333
"82",4529,"AT",58,3,2,3,3,2,2,2,1,9,9,2,2,5,9,8,9,6,2,3,3,6,6,2,3,3,3,3,3,10,8,1,0,"Proportional","r",1.550724086,5,1,8.33333333333333
"83",4532,"AT",38,4,1,3,1,2,8,2,1,6,8,3,3,7,5,4,8,8,4,4,4,1,2,3,4,2,3,3,4,10,1,5,0,"Proportional","r",1.550724086,4,1,4
"84",4565,"AT",24,5,2,5,3,2,3,2,2,7,8,2,3,5,4,4,5,5,2,3,3,5,5,4,3,3,3,1,3,8,3,2,4,"Proportional","r",1.550724086,4,1,4.66666666666667
"85",4608,"AT",87,2,2,5,3,2,4,2,2,6,7,3,4,10,5,6,7,3,1,3,2,4,5,2,2,2,3,3,4,10,5,1,4,"Proportional","r",1.550724086,5,2,5
"86",4620,"AT",60,3,2,6,3,2,3,2,3,8,6,1,1,5,6,7,5,1,2,3,3,6,2,3,2,2,2,3,4,8,4,1,0,"Proportional","r",1.550724086,7,1,5.33333333333333
"87",4639,"AT",50,7,1,4,4,2,5,1,2,7,8,2,2,2,9,10,7,6,2,2,2,7,5,4,3,3,4,1,1,9,7,1,0,"Proportional","r",1.550724086,2,1,9
"88",4678,"AT",61,5,2,10,3,2,5,2,2,7,8,2,1,4,3,7,4,4,1,1,1,7,5,1,4,4,5,2,2,10,6,1,0,"Proportional","r",1.550724086,2,1,7.66666666666667
"89",4702,"AT",82,2,1,8,4,2,4,2,2,8,8,3,3,6,7,7,7,7,2,2,2,8,5,2,3,3,4,2,2,10,5,2,0,"Proportional","r",1.550724086,4,1,7
"90",4774,"AT",65,3,1,8,1,2,4,1,3,5,5,2,1,5,5,5,5,3,3,2,4,5,3,3,3,2,3,2,5,10,3,1,3,"Proportional","r",1.550724086,3,2,5
"91",4827,"AT",55,5,1,7,1,2,7,1,2,5,7,1,2,1,10,10,0,6,4,4,4,5,5,2,4,3,4,2,5,10,8,1,0,"Proportional","r",1.550724086,9,1,7.33333333333333
"92",4932,"AT",56,3,1,0,4,2,2,2,2,9,9,1,2,8,1,5,9,0,3,4,4,2,2,3,3,3,3,2,2,9,2,1,3,"Proportional","r",1.550724086,7,2,7.66666666666667
"93",5009,"AT",34,7,1,0,1,2,4,2,2,5,7,3,5,5,8,8,3,7,1,1,1,5,8,3,2,2,4,1,1,8,8,1,0,"Proportional","r",1.550724086,3,1,6
"94",5042,"AT",27,3,2,2,3,2,7,2,2,7,9,2,3,5,5,5,5,5,1,1,1,8,7,3,2,3,3,1,1,10,7,1,0,"Proportional","r",1.550724086,4,1,3.33333333333333
"95",5073,"AT",57,3,1,5,4,2,6,2,1,8,8,2,2,5,8,8,6,6,2,3,3,8,6,2,3,3,3,1,1,8,6,1,0,"Proportional","r",1.550724086,8,1,8.33333333333333
"96",5110,"AT",42,4,2,6,4,2,10,2,2,9,6,2,2,5,5,6,7,1,2,2,3,6,3,3,2,1,2,2,3,9,4,1,0,"Proportional","r",1.550724086,3,1,5.66666666666667
"97",5179,"AT",27,3,1,2,3,2,5,2,1,10,10,2,4,7,5,6,10,7,2,3,2,4,4,3,2,1,3,1,1,7,2,3,4,"Proportional","r",1.550724086,7,1,4
